date,tweets,image
2020-11-01 04:52:35,b'RT @TonyKanal: Kidnapped from her family pod and held in captivity for 50 years. Please urge her captors to release Lolita to her home wate\xe2\x80\xa6',none

2020-11-01 04:51:44,"b'Me: HH18\nThem: HH20, Noc Kitty Ears, Lolita Sleeves, Magical Broomstick, Vampire Crown and Kitty Crossbody\n\n(Trade Already Completed)'",none

2020-11-01 04:50:43,b'RT @Ecsoyosayahooc1: @BetsayCamp @robotcry @arriolaalbert57 @iamMeinggay @babyquinto_1 @mariejoylove @mcaroline1936 @CoraMarcelo1 @Poreber2\xe2\x80\xa6',none

2020-11-01 04:45:26,b'Lolita Witch HAPPY HALLOWEEN \n#Halloween #HappyHalloween #Halloween2020  #HalloweenAtHome #witch #lolita #EGL\xe2\x80\xa6 https://t.co/jX1Rzguleu',none

2020-11-01 04:44:05,b'@kemflr Light + Hh18 + parasol20 + goth Lolita sleeves + kitty crossbody + adorable lace up doll boots + giant teddy',none

2020-11-01 04:42:23,b'Aaaaaaaand I over ate again https://t.co/ADkelULfcR',http://pbs.twimg.com/tweet_video_thumb/EltkAXwWkAElA4K.jpg

2020-11-01 04:40:46,"b""@dumauriayyy @Moondancer1626 that's so cute!!! I would love to wear Lolita if I could fit brand""",none

2020-11-01 04:40:43,b'RT @sapnapswifu: lolita minx and niki &lt;33 BUT THEY HAVE GUNS\xf0\x9f\xa7\x8e\xf0\x9f\xa7\x8e this didn\xe2\x80\x99t really turn out how i wanted it to but oh well. after the loh i\xe2\x80\xa6',none

2020-11-01 04:40:17,b'RT @retrolanabby: i don\xe2\x80\x99t know who needs to hear this but lolita isn\xe2\x80\x99t a skip https://t.co/v3gtaGYDi1',http://pbs.twimg.com/media/ElnUrg8XYAMM5qK.jpg

2020-11-01 04:38:33,b'RT @dumauriayyy: decided to wear sweet lolita tonight...first time wearing this angelic pretty dress \xf0\x9f\x98\x8a\xf0\x9f\x92\x95 https://t.co/mXAWtAnjwz',http://pbs.twimg.com/media/ElsgfqTWoAM-IYm.jpg

2020-11-01 04:37:40,"b'RT @LolitaWardrobe: Preorder Deadline Reminder: Foxtrot \xe3\x80\x90-The Secret of Princess-\xe3\x80\x91 Gothic Lolita Blouse, Vest, Cape and Skirt\n\n\xe2\x97\x86 This Serie\xe2\x80\xa6'",none

2020-11-01 04:37:36,b'RT @sapnapswifu: lolita minx and niki &lt;33 BUT THEY HAVE GUNS\xf0\x9f\xa7\x8e\xf0\x9f\xa7\x8e this didn\xe2\x80\x99t really turn out how i wanted it to but oh well. after the loh i\xe2\x80\xa6',none

2020-11-01 04:36:16,b'RT @sapnapswifu: lolita minx and niki &lt;33 BUT THEY HAVE GUNS\xf0\x9f\xa7\x8e\xf0\x9f\xa7\x8e this didn\xe2\x80\x99t really turn out how i wanted it to but oh well. after the loh i\xe2\x80\xa6',none

2020-11-01 04:35:47,b'RT @sapnapswifu: lolita minx and niki &lt;33 BUT THEY HAVE GUNS\xf0\x9f\xa7\x8e\xf0\x9f\xa7\x8e this didn\xe2\x80\x99t really turn out how i wanted it to but oh well. after the loh i\xe2\x80\xa6',none

